status file for recon-all
Tue Jan  2 15:39:26 UTC 2018
#@# MotionCor Tue Jan  2 15:39:36 UTC 2018
#@# Talairach Tue Jan  2 15:40:01 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 15:45:42 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 15:45:42 UTC 2018
#@# Intensity Normalization Tue Jan  2 15:53:54 UTC 2018
#@# Skull Stripping Tue Jan  2 15:58:45 UTC 2018
#@# EM Registration Tue Jan  2 16:50:45 UTC 2018
#@# CA Normalize Tue Jan  2 17:36:31 UTC 2018
#@# CA Reg Tue Jan  2 17:40:23 UTC 2018
#@# SubCort Seg Wed Jan  3 00:09:16 UTC 2018
#@# Merge ASeg Wed Jan  3 03:31:46 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 03:31:47 UTC 2018
#@# Mask BFS Wed Jan  3 03:41:21 UTC 2018
#@# WM Segmentation Wed Jan  3 03:41:28 UTC 2018
#@# Fill Wed Jan  3 03:47:18 UTC 2018
#@# Tessellate lh Wed Jan  3 03:49:32 UTC 2018
#@# Tessellate rh Wed Jan  3 03:49:53 UTC 2018
#@# Smooth1 lh Wed Jan  3 03:50:12 UTC 2018
#@# Smooth1 rh Wed Jan  3 03:50:27 UTC 2018
#@# Inflation1 lh Wed Jan  3 03:50:42 UTC 2018
#@# Inflation1 rh Wed Jan  3 03:52:21 UTC 2018
#@# QSphere lh Wed Jan  3 03:54:02 UTC 2018
#@# QSphere rh Wed Jan  3 04:03:31 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 04:13:17 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 04:13:17 UTC 2018
#@# Fix Topology lh Wed Jan  3 04:13:18 UTC 2018
#@# Fix Topology rh Wed Jan  3 05:40:47 UTC 2018
#@# Make White Surf lh Wed Jan  3 06:59:00 UTC 2018
#@# Make White Surf rh Wed Jan  3 07:11:50 UTC 2018
#@# Smooth2 lh Wed Jan  3 07:25:19 UTC 2018
#@# Smooth2 rh Wed Jan  3 07:25:33 UTC 2018
#@# Inflation2 lh Wed Jan  3 07:25:48 UTC 2018
#@# Inflation2 rh Wed Jan  3 07:27:19 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 07:28:57 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 07:32:13 UTC 2018
#@# Curvature Stats lh Wed Jan  3 07:35:25 UTC 2018
#@# Curvature Stats rh Wed Jan  3 07:35:34 UTC 2018
#@# Sphere lh Wed Jan  3 07:35:43 UTC 2018
#@# Sphere rh Wed Jan  3 09:17:57 UTC 2018
#@# Surf Reg lh Wed Jan  3 10:55:40 UTC 2018
#@# Surf Reg rh Wed Jan  3 12:30:01 UTC 2018
#@# Jacobian white lh Wed Jan  3 14:11:26 UTC 2018
#@# Jacobian white rh Wed Jan  3 14:11:29 UTC 2018
#@# AvgCurv lh Wed Jan  3 14:11:32 UTC 2018
#@# AvgCurv rh Wed Jan  3 14:11:35 UTC 2018
#@# Cortical Parc lh Wed Jan  3 14:11:38 UTC 2018
#@# Cortical Parc rh Wed Jan  3 14:12:04 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 14:12:32 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 14:36:24 UTC 2018
#@# Surf Volume lh Wed Jan  3 15:00:59 UTC 2018
#@# Surf Volume rh Wed Jan  3 15:01:05 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 15:01:11 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 15:30:46 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 15:33:10 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 15:35:40 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 15:36:14 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 15:36:50 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 15:38:06 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 15:39:23 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 15:39:49 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 15:40:15 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 15:41:27 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 15:42:39 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 15:42:49 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 15:43:00 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 15:43:41 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 15:51:46 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 16:00:08 UTC 2018
#@# APas-to-ASeg Wed Jan  3 16:08:38 UTC 2018
#@# ASeg Stats Wed Jan  3 16:08:50 UTC 2018
#@# WMParc Wed Jan  3 16:15:02 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 16:33:52 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 16:41:56 UTC 2018
recon-all -s 3357 finished without error at Wed Jan  3 16:50:15 UTC 2018
