status file for recon-all
Thu Jan  4 22:32:14 UTC 2018
#@# MotionCor Thu Jan  4 22:32:26 UTC 2018
#@# Talairach Thu Jan  4 22:32:46 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:42:09 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:42:15 UTC 2018
#@# Intensity Normalization Thu Jan  4 23:00:12 UTC 2018
#@# Skull Stripping Thu Jan  4 23:04:52 UTC 2018
#@# EM Registration Fri Jan  5 00:05:21 UTC 2018
#@# CA Normalize Fri Jan  5 01:06:35 UTC 2018
#@# CA Reg Fri Jan  5 01:10:05 UTC 2018
#@# SubCort Seg Fri Jan  5 08:21:32 UTC 2018
#@# Merge ASeg Fri Jan  5 10:08:15 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 10:08:15 UTC 2018
#@# Mask BFS Fri Jan  5 10:15:09 UTC 2018
#@# WM Segmentation Fri Jan  5 10:15:14 UTC 2018
#@# Fill Fri Jan  5 10:19:10 UTC 2018
#@# Tessellate lh Fri Jan  5 10:20:42 UTC 2018
#@# Tessellate rh Fri Jan  5 10:20:56 UTC 2018
#@# Smooth1 lh Fri Jan  5 10:21:08 UTC 2018
#@# Smooth1 rh Fri Jan  5 10:21:17 UTC 2018
#@# Inflation1 lh Fri Jan  5 10:21:27 UTC 2018
#@# Inflation1 rh Fri Jan  5 10:22:25 UTC 2018
#@# QSphere lh Fri Jan  5 10:23:23 UTC 2018
#@# QSphere rh Fri Jan  5 10:29:39 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 10:35:38 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 10:35:39 UTC 2018
#@# Fix Topology lh Fri Jan  5 10:35:39 UTC 2018
#@# Fix Topology rh Fri Jan  5 11:09:36 UTC 2018
#@# Make White Surf lh Fri Jan  5 11:32:20 UTC 2018
#@# Make White Surf rh Fri Jan  5 11:40:42 UTC 2018
#@# Smooth2 lh Fri Jan  5 11:49:46 UTC 2018
#@# Smooth2 rh Fri Jan  5 11:49:54 UTC 2018
#@# Inflation2 lh Fri Jan  5 11:50:03 UTC 2018
#@# Inflation2 rh Fri Jan  5 11:51:04 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 11:52:03 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 11:54:18 UTC 2018
#@# Curvature Stats lh Fri Jan  5 11:56:35 UTC 2018
#@# Curvature Stats rh Fri Jan  5 11:56:40 UTC 2018
#@# Sphere lh Fri Jan  5 11:56:47 UTC 2018
#@# Sphere rh Fri Jan  5 13:04:35 UTC 2018
#@# Surf Reg lh Fri Jan  5 14:26:15 UTC 2018
#@# Surf Reg rh Fri Jan  5 15:48:16 UTC 2018
#@# Jacobian white lh Fri Jan  5 17:25:52 UTC 2018
#@# Jacobian white rh Fri Jan  5 17:25:54 UTC 2018
#@# AvgCurv lh Fri Jan  5 17:25:58 UTC 2018
#@# AvgCurv rh Fri Jan  5 17:26:00 UTC 2018
#@# Cortical Parc lh Fri Jan  5 17:26:03 UTC 2018
#@# Cortical Parc rh Fri Jan  5 17:26:28 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 17:26:51 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 17:48:21 UTC 2018
#@# Surf Volume lh Fri Jan  5 18:10:38 UTC 2018
#@# Surf Volume rh Fri Jan  5 18:10:43 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 18:10:48 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 18:36:51 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 18:39:10 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 18:41:27 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 18:41:59 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 18:42:31 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 18:43:43 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 18:44:57 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 18:45:23 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 18:45:47 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 18:46:57 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 18:48:06 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 18:48:16 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 18:48:25 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 18:49:06 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 18:57:46 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 19:06:21 UTC 2018
#@# APas-to-ASeg Fri Jan  5 19:14:56 UTC 2018
#@# ASeg Stats Fri Jan  5 19:15:09 UTC 2018
#@# WMParc Fri Jan  5 19:22:27 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 19:40:39 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 19:48:46 UTC 2018
recon-all -s 3367 finished without error at Fri Jan  5 19:56:57 UTC 2018
