status file for recon-all
Thu Jan  4 22:32:02 UTC 2018
#@# MotionCor Thu Jan  4 22:32:12 UTC 2018
#@# Talairach Thu Jan  4 22:32:32 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:42:09 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:42:15 UTC 2018
#@# Intensity Normalization Thu Jan  4 23:00:37 UTC 2018
#@# Skull Stripping Thu Jan  4 23:05:36 UTC 2018
#@# EM Registration Thu Jan  4 23:58:45 UTC 2018
#@# CA Normalize Fri Jan  5 00:57:19 UTC 2018
#@# CA Reg Fri Jan  5 01:01:03 UTC 2018
#@# SubCort Seg Fri Jan  5 08:01:12 UTC 2018
#@# Merge ASeg Fri Jan  5 10:01:10 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 10:01:10 UTC 2018
#@# Mask BFS Fri Jan  5 10:07:28 UTC 2018
#@# WM Segmentation Fri Jan  5 10:07:32 UTC 2018
#@# Fill Fri Jan  5 10:11:21 UTC 2018
#@# Tessellate lh Fri Jan  5 10:12:51 UTC 2018
#@# Tessellate rh Fri Jan  5 10:13:03 UTC 2018
#@# Smooth1 lh Fri Jan  5 10:13:16 UTC 2018
#@# Smooth1 rh Fri Jan  5 10:13:25 UTC 2018
#@# Inflation1 lh Fri Jan  5 10:13:35 UTC 2018
#@# Inflation1 rh Fri Jan  5 10:14:30 UTC 2018
#@# QSphere lh Fri Jan  5 10:15:28 UTC 2018
#@# QSphere rh Fri Jan  5 10:21:16 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 10:28:26 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 10:28:26 UTC 2018
#@# Fix Topology lh Fri Jan  5 10:28:26 UTC 2018
#@# Fix Topology rh Fri Jan  5 10:53:02 UTC 2018
#@# Make White Surf lh Fri Jan  5 11:15:50 UTC 2018
#@# Make White Surf rh Fri Jan  5 11:25:00 UTC 2018
#@# Smooth2 lh Fri Jan  5 11:34:13 UTC 2018
#@# Smooth2 rh Fri Jan  5 11:34:23 UTC 2018
#@# Inflation2 lh Fri Jan  5 11:34:32 UTC 2018
#@# Inflation2 rh Fri Jan  5 11:35:34 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 11:36:39 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 11:38:52 UTC 2018
#@# Curvature Stats lh Fri Jan  5 11:41:12 UTC 2018
#@# Curvature Stats rh Fri Jan  5 11:41:20 UTC 2018
#@# Sphere lh Fri Jan  5 11:41:26 UTC 2018
#@# Sphere rh Fri Jan  5 12:55:02 UTC 2018
#@# Surf Reg lh Fri Jan  5 14:12:13 UTC 2018
#@# Surf Reg rh Fri Jan  5 15:35:39 UTC 2018
#@# Jacobian white lh Fri Jan  5 17:03:50 UTC 2018
#@# Jacobian white rh Fri Jan  5 17:03:54 UTC 2018
#@# AvgCurv lh Fri Jan  5 17:03:58 UTC 2018
#@# AvgCurv rh Fri Jan  5 17:04:01 UTC 2018
#@# Cortical Parc lh Fri Jan  5 17:04:04 UTC 2018
#@# Cortical Parc rh Fri Jan  5 17:04:32 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 17:04:56 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 17:28:30 UTC 2018
#@# Surf Volume lh Fri Jan  5 17:51:03 UTC 2018
#@# Surf Volume rh Fri Jan  5 17:51:09 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 17:51:14 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 18:08:49 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 18:11:00 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 18:13:12 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 18:13:43 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 18:14:14 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 18:15:18 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 18:16:27 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 18:16:52 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 18:17:17 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 18:18:26 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 18:19:35 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 18:19:45 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 18:19:55 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 18:20:33 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 18:28:43 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 18:36:47 UTC 2018
#@# APas-to-ASeg Fri Jan  5 18:44:51 UTC 2018
#@# ASeg Stats Fri Jan  5 18:45:04 UTC 2018
#@# WMParc Fri Jan  5 18:52:37 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 19:11:41 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 19:19:41 UTC 2018
recon-all -s 3366 finished without error at Fri Jan  5 19:27:48 UTC 2018
