status file for recon-all
Mon Jan  8 18:45:05 UTC 2018
#@# MotionCor Mon Jan  8 18:45:17 UTC 2018
#@# Talairach Mon Jan  8 18:45:42 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:08:56 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:08:57 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:17:10 UTC 2018
#@# Skull Stripping Mon Jan  8 19:21:48 UTC 2018
#@# EM Registration Mon Jan  8 19:58:35 UTC 2018
#@# CA Normalize Mon Jan  8 20:32:22 UTC 2018
#@# CA Reg Mon Jan  8 20:35:56 UTC 2018
#@# SubCort Seg Tue Jan  9 04:51:49 UTC 2018
#@# Merge ASeg Tue Jan  9 07:48:30 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 07:48:30 UTC 2018
#@# Mask BFS Tue Jan  9 07:56:41 UTC 2018
#@# WM Segmentation Tue Jan  9 07:56:46 UTC 2018
#@# Fill Tue Jan  9 08:01:23 UTC 2018
#@# Tessellate lh Tue Jan  9 08:03:06 UTC 2018
#@# Tessellate rh Tue Jan  9 08:03:19 UTC 2018
#@# Smooth1 lh Tue Jan  9 08:03:33 UTC 2018
#@# Smooth1 rh Tue Jan  9 08:03:43 UTC 2018
#@# Inflation1 lh Tue Jan  9 08:03:54 UTC 2018
#@# Inflation1 rh Tue Jan  9 08:05:05 UTC 2018
#@# QSphere lh Tue Jan  9 08:06:16 UTC 2018
#@# QSphere rh Tue Jan  9 08:13:51 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 08:22:01 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 08:22:01 UTC 2018
#@# Fix Topology lh Tue Jan  9 08:22:01 UTC 2018
#@# Fix Topology rh Tue Jan  9 09:02:31 UTC 2018
#@# Make White Surf lh Tue Jan  9 09:26:35 UTC 2018
#@# Make White Surf rh Tue Jan  9 09:36:46 UTC 2018
#@# Smooth2 lh Tue Jan  9 09:47:07 UTC 2018
#@# Smooth2 rh Tue Jan  9 09:47:18 UTC 2018
#@# Inflation2 lh Tue Jan  9 09:47:29 UTC 2018
#@# Inflation2 rh Tue Jan  9 09:48:47 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 09:50:00 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 09:52:34 UTC 2018
#@# Curvature Stats lh Tue Jan  9 09:55:12 UTC 2018
#@# Curvature Stats rh Tue Jan  9 09:55:20 UTC 2018
#@# Sphere lh Tue Jan  9 09:55:28 UTC 2018
#@# Sphere rh Tue Jan  9 11:30:03 UTC 2018
#@# Surf Reg lh Tue Jan  9 13:11:37 UTC 2018
#@# Surf Reg rh Tue Jan  9 16:35:11 UTC 2018
#@# Jacobian white lh Tue Jan  9 18:46:40 UTC 2018
#@# Jacobian white rh Tue Jan  9 18:46:44 UTC 2018
#@# AvgCurv lh Tue Jan  9 18:46:47 UTC 2018
#@# AvgCurv rh Tue Jan  9 18:46:51 UTC 2018
#@# Cortical Parc lh Tue Jan  9 18:46:53 UTC 2018
#@# Cortical Parc rh Tue Jan  9 18:47:19 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 18:47:46 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 19:12:17 UTC 2018
#@# Surf Volume lh Tue Jan  9 19:36:18 UTC 2018
#@# Surf Volume rh Tue Jan  9 19:36:24 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 19:36:29 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 19:59:09 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 20:01:30 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 20:03:54 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 20:04:26 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 20:04:57 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 20:06:12 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 20:07:27 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 20:07:50 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 20:08:17 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 20:09:26 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 20:10:32 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 20:10:42 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 20:10:51 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 20:11:27 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 20:19:21 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 20:27:13 UTC 2018
#@# APas-to-ASeg Tue Jan  9 20:35:16 UTC 2018
#@# ASeg Stats Tue Jan  9 20:35:27 UTC 2018
#@# WMParc Tue Jan  9 20:41:01 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 20:58:01 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 21:06:28 UTC 2018
recon-all -s 3478 finished without error at Tue Jan  9 21:14:42 UTC 2018
