status file for recon-all
Mon Jan  1 22:57:07 UTC 2018
#@# MotionCor Mon Jan  1 22:57:35 UTC 2018
#@# Talairach Mon Jan  1 22:57:55 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 23:06:39 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 23:06:39 UTC 2018
#@# Intensity Normalization Mon Jan  1 23:16:48 UTC 2018
#@# Skull Stripping Mon Jan  1 23:21:33 UTC 2018
#@# EM Registration Tue Jan  2 00:12:27 UTC 2018
#@# CA Normalize Tue Jan  2 00:46:18 UTC 2018
#@# CA Reg Tue Jan  2 00:49:50 UTC 2018
#@# SubCort Seg Tue Jan  2 07:06:36 UTC 2018
#@# Merge ASeg Tue Jan  2 10:04:34 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 10:04:34 UTC 2018
#@# Mask BFS Tue Jan  2 10:13:05 UTC 2018
#@# WM Segmentation Tue Jan  2 10:13:11 UTC 2018
#@# Fill Tue Jan  2 10:18:10 UTC 2018
#@# Tessellate lh Tue Jan  2 10:20:04 UTC 2018
#@# Tessellate rh Tue Jan  2 10:20:20 UTC 2018
#@# Smooth1 lh Tue Jan  2 10:20:34 UTC 2018
#@# Smooth1 rh Tue Jan  2 10:20:47 UTC 2018
#@# Inflation1 lh Tue Jan  2 10:21:00 UTC 2018
#@# Inflation1 rh Tue Jan  2 10:22:34 UTC 2018
#@# QSphere lh Tue Jan  2 10:24:13 UTC 2018
#@# QSphere rh Tue Jan  2 10:34:05 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 10:43:56 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 10:43:56 UTC 2018
#@# Fix Topology lh Tue Jan  2 10:43:57 UTC 2018
#@# Fix Topology rh Tue Jan  2 17:28:09 UTC 2018
#@# Make White Surf lh Tue Jan  2 22:28:51 UTC 2018
#@# Make White Surf rh Tue Jan  2 22:42:25 UTC 2018
#@# Smooth2 lh Tue Jan  2 22:55:40 UTC 2018
#@# Smooth2 rh Tue Jan  2 22:55:54 UTC 2018
#@# Inflation2 lh Tue Jan  2 22:56:10 UTC 2018
#@# Inflation2 rh Tue Jan  2 22:58:05 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 22:59:52 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 23:03:48 UTC 2018
#@# Curvature Stats lh Tue Jan  2 23:07:38 UTC 2018
#@# Curvature Stats rh Tue Jan  2 23:07:48 UTC 2018
#@# Sphere lh Tue Jan  2 23:07:59 UTC 2018
#@# Sphere rh Wed Jan  3 02:09:20 UTC 2018
#@# Surf Reg lh Wed Jan  3 04:43:06 UTC 2018
#@# Surf Reg rh Wed Jan  3 07:02:37 UTC 2018
#@# Jacobian white lh Wed Jan  3 09:12:07 UTC 2018
#@# Jacobian white rh Wed Jan  3 09:12:11 UTC 2018
#@# AvgCurv lh Wed Jan  3 09:12:14 UTC 2018
#@# AvgCurv rh Wed Jan  3 09:12:16 UTC 2018
#@# Cortical Parc lh Wed Jan  3 09:12:20 UTC 2018
#@# Cortical Parc rh Wed Jan  3 09:12:49 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 09:13:18 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 09:42:31 UTC 2018
#@# Surf Volume lh Wed Jan  3 10:10:35 UTC 2018
#@# Surf Volume rh Wed Jan  3 10:10:42 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 10:10:48 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 10:32:55 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 10:35:48 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 10:38:33 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 10:39:17 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 10:40:01 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 10:41:28 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 10:42:56 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 10:43:28 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 10:44:03 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 10:45:31 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 10:47:00 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 10:47:15 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 10:47:29 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 10:48:20 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 10:57:58 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 11:07:31 UTC 2018
#@# APas-to-ASeg Wed Jan  3 11:16:41 UTC 2018
#@# ASeg Stats Wed Jan  3 11:16:55 UTC 2018
#@# WMParc Wed Jan  3 11:24:14 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 11:48:13 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 11:58:05 UTC 2018
recon-all -s 3269 finished without error at Wed Jan  3 12:07:28 UTC 2018
