status file for recon-all
Mon Jan  8 18:45:13 UTC 2018
#@# MotionCor Mon Jan  8 18:46:03 UTC 2018
#@# Talairach Mon Jan  8 18:46:18 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 18:51:11 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 18:51:11 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:05:49 UTC 2018
#@# Skull Stripping Mon Jan  8 19:09:25 UTC 2018
#@# EM Registration Mon Jan  8 19:51:28 UTC 2018
#@# CA Normalize Mon Jan  8 20:37:43 UTC 2018
#@# CA Reg Mon Jan  8 20:41:20 UTC 2018
#@# SubCort Seg Tue Jan  9 05:17:14 UTC 2018
#@# Merge ASeg Tue Jan  9 08:00:31 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 08:00:31 UTC 2018
#@# Mask BFS Tue Jan  9 08:07:59 UTC 2018
#@# WM Segmentation Tue Jan  9 08:08:04 UTC 2018
#@# Fill Tue Jan  9 08:12:36 UTC 2018
#@# Tessellate lh Tue Jan  9 08:14:11 UTC 2018
#@# Tessellate rh Tue Jan  9 08:14:25 UTC 2018
#@# Smooth1 lh Tue Jan  9 08:14:39 UTC 2018
#@# Smooth1 rh Tue Jan  9 08:14:48 UTC 2018
#@# Inflation1 lh Tue Jan  9 08:14:58 UTC 2018
#@# Inflation1 rh Tue Jan  9 08:16:09 UTC 2018
#@# QSphere lh Tue Jan  9 08:17:20 UTC 2018
#@# QSphere rh Tue Jan  9 08:25:11 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 08:32:31 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 08:32:31 UTC 2018
#@# Fix Topology lh Tue Jan  9 08:32:31 UTC 2018
#@# Fix Topology rh Tue Jan  9 08:57:27 UTC 2018
#@# Make White Surf lh Tue Jan  9 09:25:30 UTC 2018
#@# Make White Surf rh Tue Jan  9 09:35:10 UTC 2018
#@# Smooth2 lh Tue Jan  9 09:45:05 UTC 2018
#@# Smooth2 rh Tue Jan  9 09:45:15 UTC 2018
#@# Inflation2 lh Tue Jan  9 09:45:26 UTC 2018
#@# Inflation2 rh Tue Jan  9 09:46:37 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 09:47:49 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 09:50:20 UTC 2018
#@# Curvature Stats lh Tue Jan  9 09:52:51 UTC 2018
#@# Curvature Stats rh Tue Jan  9 09:52:58 UTC 2018
#@# Sphere lh Tue Jan  9 09:53:07 UTC 2018
#@# Sphere rh Tue Jan  9 11:34:30 UTC 2018
#@# Surf Reg lh Tue Jan  9 13:20:57 UTC 2018
#@# Surf Reg rh Tue Jan  9 15:55:35 UTC 2018
#@# Jacobian white lh Tue Jan  9 18:30:21 UTC 2018
#@# Jacobian white rh Tue Jan  9 18:30:24 UTC 2018
#@# AvgCurv lh Tue Jan  9 18:30:28 UTC 2018
#@# AvgCurv rh Tue Jan  9 18:30:31 UTC 2018
#@# Cortical Parc lh Tue Jan  9 18:30:36 UTC 2018
#@# Cortical Parc rh Tue Jan  9 18:31:07 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 18:31:39 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 18:57:08 UTC 2018
#@# Surf Volume lh Tue Jan  9 19:20:40 UTC 2018
#@# Surf Volume rh Tue Jan  9 19:20:45 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 19:20:51 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 19:41:16 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 19:43:30 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 19:45:49 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 19:46:18 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 19:46:47 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 19:47:56 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 19:49:05 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 19:49:29 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 19:49:53 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 19:51:02 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 19:52:12 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 19:52:22 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 19:52:31 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 19:53:06 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 20:00:57 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 20:08:43 UTC 2018
#@# APas-to-ASeg Tue Jan  9 20:16:25 UTC 2018
#@# ASeg Stats Tue Jan  9 20:16:36 UTC 2018
#@# WMParc Tue Jan  9 20:21:51 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 20:39:40 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 20:47:38 UTC 2018
recon-all -s 3479 finished without error at Tue Jan  9 20:55:40 UTC 2018
