status file for recon-all
Mon Jan  1 22:56:48 UTC 2018
#@# MotionCor Mon Jan  1 22:57:07 UTC 2018
#@# Talairach Mon Jan  1 22:57:31 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 23:07:15 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 23:07:15 UTC 2018
#@# Intensity Normalization Mon Jan  1 23:17:45 UTC 2018
#@# Skull Stripping Mon Jan  1 23:22:16 UTC 2018
#@# EM Registration Tue Jan  2 00:14:40 UTC 2018
#@# CA Normalize Tue Jan  2 00:49:16 UTC 2018
#@# CA Reg Tue Jan  2 00:52:46 UTC 2018
#@# SubCort Seg Tue Jan  2 06:11:59 UTC 2018
#@# Merge ASeg Tue Jan  2 09:36:04 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 09:36:04 UTC 2018
#@# Mask BFS Tue Jan  2 09:44:01 UTC 2018
#@# WM Segmentation Tue Jan  2 09:44:07 UTC 2018
#@# Fill Tue Jan  2 09:48:35 UTC 2018
#@# Tessellate lh Tue Jan  2 09:50:20 UTC 2018
#@# Tessellate rh Tue Jan  2 09:50:37 UTC 2018
#@# Smooth1 lh Tue Jan  2 09:50:54 UTC 2018
#@# Smooth1 rh Tue Jan  2 09:51:08 UTC 2018
#@# Inflation1 lh Tue Jan  2 09:51:20 UTC 2018
#@# Inflation1 rh Tue Jan  2 09:53:02 UTC 2018
#@# QSphere lh Tue Jan  2 09:54:32 UTC 2018
#@# QSphere rh Tue Jan  2 10:05:04 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 10:13:49 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 10:13:49 UTC 2018
#@# Fix Topology lh Tue Jan  2 10:13:49 UTC 2018
