status file for recon-all
Mon Jan  1 22:53:53 UTC 2018
#@# MotionCor Mon Jan  1 22:54:01 UTC 2018
#@# Talairach Mon Jan  1 22:54:16 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 22:58:54 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 22:58:56 UTC 2018
#@# Intensity Normalization Mon Jan  1 23:08:05 UTC 2018
#@# Skull Stripping Mon Jan  1 23:11:56 UTC 2018
#@# EM Registration Tue Jan  2 00:09:56 UTC 2018
#@# CA Normalize Tue Jan  2 00:59:44 UTC 2018
#@# CA Reg Tue Jan  2 01:03:30 UTC 2018
#@# SubCort Seg Tue Jan  2 06:35:39 UTC 2018
#@# Merge ASeg Tue Jan  2 09:04:26 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 09:04:26 UTC 2018
#@# Mask BFS Tue Jan  2 09:11:35 UTC 2018
#@# WM Segmentation Tue Jan  2 09:11:40 UTC 2018
#@# Fill Tue Jan  2 09:16:40 UTC 2018
#@# Tessellate lh Tue Jan  2 09:18:31 UTC 2018
#@# Tessellate rh Tue Jan  2 09:18:46 UTC 2018
#@# Smooth1 lh Tue Jan  2 09:19:00 UTC 2018
#@# Smooth1 rh Tue Jan  2 09:19:12 UTC 2018
#@# Inflation1 lh Tue Jan  2 09:19:24 UTC 2018
#@# Inflation1 rh Tue Jan  2 09:20:45 UTC 2018
#@# QSphere lh Tue Jan  2 09:22:06 UTC 2018
#@# QSphere rh Tue Jan  2 09:30:02 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 09:38:28 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 09:38:28 UTC 2018
#@# Fix Topology lh Tue Jan  2 09:38:28 UTC 2018
#@# Fix Topology rh Tue Jan  2 12:42:31 UTC 2018
#@# Make White Surf lh Tue Jan  2 16:17:41 UTC 2018
#@# Make White Surf rh Tue Jan  2 16:30:41 UTC 2018
#@# Smooth2 lh Tue Jan  2 16:43:32 UTC 2018
#@# Smooth2 rh Tue Jan  2 16:43:47 UTC 2018
#@# Inflation2 lh Tue Jan  2 16:44:03 UTC 2018
#@# Inflation2 rh Tue Jan  2 16:45:37 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 16:47:09 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 16:50:37 UTC 2018
#@# Curvature Stats lh Tue Jan  2 16:53:59 UTC 2018
#@# Curvature Stats rh Tue Jan  2 16:54:10 UTC 2018
#@# Sphere lh Tue Jan  2 16:54:21 UTC 2018
#@# Sphere rh Tue Jan  2 18:45:20 UTC 2018
#@# Surf Reg lh Tue Jan  2 21:00:59 UTC 2018
#@# Surf Reg rh Wed Jan  3 00:08:34 UTC 2018
#@# Jacobian white lh Wed Jan  3 03:11:00 UTC 2018
#@# Jacobian white rh Wed Jan  3 03:11:05 UTC 2018
#@# AvgCurv lh Wed Jan  3 03:11:11 UTC 2018
#@# AvgCurv rh Wed Jan  3 03:11:16 UTC 2018
#@# Cortical Parc lh Wed Jan  3 03:11:22 UTC 2018
#@# Cortical Parc rh Wed Jan  3 03:12:15 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 03:12:58 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 03:53:13 UTC 2018
#@# Surf Volume lh Wed Jan  3 04:33:00 UTC 2018
#@# Surf Volume rh Wed Jan  3 04:33:11 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 04:33:23 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 05:14:38 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 05:18:19 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 05:22:00 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 05:23:00 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 05:24:00 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 05:26:00 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 05:27:57 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 05:28:44 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 05:29:26 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 05:31:23 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 05:33:15 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 05:33:35 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 05:33:53 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 05:35:12 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 05:51:12 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 06:06:57 UTC 2018
#@# APas-to-ASeg Wed Jan  3 06:22:31 UTC 2018
#@# ASeg Stats Wed Jan  3 06:22:52 UTC 2018
#@# WMParc Wed Jan  3 06:33:50 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 07:03:33 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 07:16:58 UTC 2018
recon-all -s 3131 finished without error at Wed Jan  3 07:30:20 UTC 2018
