status file for recon-all
Thu Jan  4 22:31:33 UTC 2018
#@# MotionCor Thu Jan  4 22:31:40 UTC 2018
#@# Talairach Thu Jan  4 22:31:58 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:42:09 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:42:15 UTC 2018
#@# Intensity Normalization Thu Jan  4 23:02:34 UTC 2018
#@# Skull Stripping Thu Jan  4 23:07:33 UTC 2018
#@# EM Registration Fri Jan  5 00:53:52 UTC 2018
#@# CA Normalize Fri Jan  5 02:01:03 UTC 2018
#@# CA Reg Fri Jan  5 02:05:14 UTC 2018
#@# SubCort Seg Fri Jan  5 08:55:35 UTC 2018
#@# Merge ASeg Fri Jan  5 10:59:01 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 10:59:01 UTC 2018
#@# Mask BFS Fri Jan  5 11:05:56 UTC 2018
#@# WM Segmentation Fri Jan  5 11:06:00 UTC 2018
#@# Fill Fri Jan  5 11:10:32 UTC 2018
#@# Tessellate lh Fri Jan  5 11:12:04 UTC 2018
#@# Tessellate rh Fri Jan  5 11:12:17 UTC 2018
#@# Smooth1 lh Fri Jan  5 11:12:31 UTC 2018
#@# Smooth1 rh Fri Jan  5 11:12:42 UTC 2018
#@# Inflation1 lh Fri Jan  5 11:12:54 UTC 2018
#@# Inflation1 rh Fri Jan  5 11:14:09 UTC 2018
#@# QSphere lh Fri Jan  5 11:15:22 UTC 2018
#@# QSphere rh Fri Jan  5 11:22:36 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 11:29:47 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 11:29:47 UTC 2018
#@# Fix Topology lh Fri Jan  5 11:29:47 UTC 2018
#@# Fix Topology rh Fri Jan  5 12:46:08 UTC 2018
#@# Make White Surf lh Fri Jan  5 13:40:39 UTC 2018
#@# Make White Surf rh Fri Jan  5 13:50:44 UTC 2018
#@# Smooth2 lh Fri Jan  5 14:00:47 UTC 2018
#@# Smooth2 rh Fri Jan  5 14:00:57 UTC 2018
#@# Inflation2 lh Fri Jan  5 14:01:07 UTC 2018
#@# Inflation2 rh Fri Jan  5 14:02:18 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 14:03:32 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 14:06:12 UTC 2018
#@# Curvature Stats lh Fri Jan  5 14:08:55 UTC 2018
#@# Curvature Stats rh Fri Jan  5 14:09:01 UTC 2018
#@# Sphere lh Fri Jan  5 14:09:09 UTC 2018
#@# Sphere rh Fri Jan  5 15:49:21 UTC 2018
#@# Surf Reg lh Fri Jan  5 17:43:38 UTC 2018
#@# Surf Reg rh Fri Jan  5 19:25:03 UTC 2018
#@# Jacobian white lh Fri Jan  5 21:12:30 UTC 2018
#@# Jacobian white rh Fri Jan  5 21:12:34 UTC 2018
#@# AvgCurv lh Fri Jan  5 21:12:37 UTC 2018
#@# AvgCurv rh Fri Jan  5 21:12:40 UTC 2018
#@# Cortical Parc lh Fri Jan  5 21:12:43 UTC 2018
#@# Cortical Parc rh Fri Jan  5 21:13:09 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 21:13:34 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 21:38:55 UTC 2018
#@# Surf Volume lh Fri Jan  5 22:05:35 UTC 2018
#@# Surf Volume rh Fri Jan  5 22:05:41 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 22:05:48 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 22:27:18 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 22:29:43 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 22:32:16 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 22:32:49 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 22:33:22 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 22:34:37 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 22:35:54 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 22:36:19 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 22:36:45 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 22:37:59 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 22:39:09 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 22:39:20 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 22:39:31 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 22:40:10 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 22:47:54 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 22:55:59 UTC 2018
#@# APas-to-ASeg Fri Jan  5 23:04:14 UTC 2018
#@# ASeg Stats Fri Jan  5 23:04:25 UTC 2018
#@# WMParc Fri Jan  5 23:08:18 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 23:24:37 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 23:33:32 UTC 2018
recon-all -s 3358 finished without error at Fri Jan  5 23:42:24 UTC 2018
