status file for recon-all
Mon Jan  8 18:44:59 UTC 2018
#@# MotionCor Mon Jan  8 18:45:08 UTC 2018
#@# Talairach Mon Jan  8 18:45:28 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 18:52:19 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 18:52:19 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:07:35 UTC 2018
#@# Skull Stripping Mon Jan  8 19:12:28 UTC 2018
#@# EM Registration Mon Jan  8 19:49:52 UTC 2018
#@# CA Normalize Mon Jan  8 20:27:07 UTC 2018
#@# CA Reg Mon Jan  8 20:30:28 UTC 2018
#@# SubCort Seg Tue Jan  9 03:46:13 UTC 2018
#@# Merge ASeg Tue Jan  9 06:37:37 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 06:37:38 UTC 2018
#@# Mask BFS Tue Jan  9 06:46:10 UTC 2018
#@# WM Segmentation Tue Jan  9 06:46:16 UTC 2018
#@# Fill Tue Jan  9 06:51:13 UTC 2018
#@# Tessellate lh Tue Jan  9 06:53:11 UTC 2018
#@# Tessellate rh Tue Jan  9 06:53:28 UTC 2018
#@# Smooth1 lh Tue Jan  9 06:53:43 UTC 2018
#@# Smooth1 rh Tue Jan  9 06:53:54 UTC 2018
#@# Inflation1 lh Tue Jan  9 06:54:05 UTC 2018
#@# Inflation1 rh Tue Jan  9 06:55:22 UTC 2018
#@# QSphere lh Tue Jan  9 06:56:40 UTC 2018
#@# QSphere rh Tue Jan  9 07:04:51 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 07:13:19 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 07:13:20 UTC 2018
#@# Fix Topology lh Tue Jan  9 07:13:20 UTC 2018
#@# Fix Topology rh Tue Jan  9 07:51:15 UTC 2018
#@# Make White Surf lh Tue Jan  9 08:37:56 UTC 2018
#@# Make White Surf rh Tue Jan  9 08:48:14 UTC 2018
#@# Smooth2 lh Tue Jan  9 08:57:39 UTC 2018
#@# Smooth2 rh Tue Jan  9 08:57:49 UTC 2018
#@# Inflation2 lh Tue Jan  9 08:57:59 UTC 2018
#@# Inflation2 rh Tue Jan  9 08:59:06 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 09:00:11 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 09:02:32 UTC 2018
#@# Curvature Stats lh Tue Jan  9 09:04:50 UTC 2018
#@# Curvature Stats rh Tue Jan  9 09:04:57 UTC 2018
#@# Sphere lh Tue Jan  9 09:05:04 UTC 2018
#@# Sphere rh Tue Jan  9 10:37:59 UTC 2018
#@# Surf Reg lh Tue Jan  9 12:02:11 UTC 2018
#@# Surf Reg rh Tue Jan  9 13:54:45 UTC 2018
#@# Jacobian white lh Tue Jan  9 16:15:57 UTC 2018
#@# Jacobian white rh Tue Jan  9 16:16:00 UTC 2018
#@# AvgCurv lh Tue Jan  9 16:16:05 UTC 2018
#@# AvgCurv rh Tue Jan  9 16:16:10 UTC 2018
#@# Cortical Parc lh Tue Jan  9 16:16:14 UTC 2018
#@# Cortical Parc rh Tue Jan  9 16:16:43 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 16:17:16 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 16:43:39 UTC 2018
#@# Surf Volume lh Tue Jan  9 17:09:59 UTC 2018
#@# Surf Volume rh Tue Jan  9 17:10:06 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 17:10:13 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 17:38:37 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 17:41:32 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 17:44:29 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 17:45:08 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 17:45:45 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 17:47:17 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 17:49:00 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 17:49:33 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 17:50:03 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 17:51:30 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 17:52:56 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 17:53:10 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 17:53:21 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 17:54:11 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 18:05:10 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 18:16:46 UTC 2018
#@# APas-to-ASeg Tue Jan  9 18:26:38 UTC 2018
#@# ASeg Stats Tue Jan  9 18:26:58 UTC 2018
#@# WMParc Tue Jan  9 18:36:03 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 18:56:08 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 19:03:51 UTC 2018
recon-all -s 3476 finished without error at Tue Jan  9 19:11:39 UTC 2018
