status file for recon-all
Thu Jan  4 22:31:52 UTC 2018
#@# MotionCor Thu Jan  4 22:32:00 UTC 2018
#@# Talairach Thu Jan  4 22:32:16 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:42:11 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:42:15 UTC 2018
#@# Intensity Normalization Thu Jan  4 23:02:27 UTC 2018
#@# Skull Stripping Thu Jan  4 23:07:38 UTC 2018
#@# EM Registration Thu Jan  4 23:53:53 UTC 2018
#@# CA Normalize Fri Jan  5 00:58:45 UTC 2018
#@# CA Reg Fri Jan  5 01:02:25 UTC 2018
#@# SubCort Seg Fri Jan  5 08:12:57 UTC 2018
#@# Merge ASeg Fri Jan  5 10:11:40 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 10:11:40 UTC 2018
#@# Mask BFS Fri Jan  5 10:18:36 UTC 2018
#@# WM Segmentation Fri Jan  5 10:18:41 UTC 2018
#@# Fill Fri Jan  5 10:22:38 UTC 2018
#@# Tessellate lh Fri Jan  5 10:24:15 UTC 2018
#@# Tessellate rh Fri Jan  5 10:24:28 UTC 2018
#@# Smooth1 lh Fri Jan  5 10:24:41 UTC 2018
#@# Smooth1 rh Fri Jan  5 10:24:51 UTC 2018
#@# Inflation1 lh Fri Jan  5 10:25:00 UTC 2018
#@# Inflation1 rh Fri Jan  5 10:26:06 UTC 2018
#@# QSphere lh Fri Jan  5 10:27:11 UTC 2018
#@# QSphere rh Fri Jan  5 10:33:38 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 10:40:31 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 10:40:31 UTC 2018
#@# Fix Topology lh Fri Jan  5 10:40:31 UTC 2018
#@# Fix Topology rh Fri Jan  5 11:04:14 UTC 2018
#@# Make White Surf lh Fri Jan  5 11:24:43 UTC 2018
#@# Make White Surf rh Fri Jan  5 11:34:33 UTC 2018
#@# Smooth2 lh Fri Jan  5 11:44:02 UTC 2018
#@# Smooth2 rh Fri Jan  5 11:44:12 UTC 2018
#@# Inflation2 lh Fri Jan  5 11:44:22 UTC 2018
#@# Inflation2 rh Fri Jan  5 11:45:27 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 11:46:32 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 11:49:00 UTC 2018
#@# Curvature Stats lh Fri Jan  5 11:51:32 UTC 2018
#@# Curvature Stats rh Fri Jan  5 11:51:40 UTC 2018
#@# Sphere lh Fri Jan  5 11:51:46 UTC 2018
#@# Sphere rh Fri Jan  5 13:17:14 UTC 2018
#@# Surf Reg lh Fri Jan  5 14:37:43 UTC 2018
#@# Surf Reg rh Fri Jan  5 16:00:58 UTC 2018
#@# Jacobian white lh Fri Jan  5 17:54:07 UTC 2018
#@# Jacobian white rh Fri Jan  5 17:54:09 UTC 2018
#@# AvgCurv lh Fri Jan  5 17:54:12 UTC 2018
#@# AvgCurv rh Fri Jan  5 17:54:14 UTC 2018
#@# Cortical Parc lh Fri Jan  5 17:54:17 UTC 2018
#@# Cortical Parc rh Fri Jan  5 17:54:40 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 17:55:03 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 18:17:55 UTC 2018
#@# Surf Volume lh Fri Jan  5 18:42:20 UTC 2018
#@# Surf Volume rh Fri Jan  5 18:42:26 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 18:42:31 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 19:11:05 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 19:13:34 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 19:16:01 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 19:16:34 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 19:17:06 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 19:18:23 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 19:19:45 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 19:20:09 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 19:20:36 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 19:21:46 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 19:22:59 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 19:23:10 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 19:23:21 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 19:23:54 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 19:32:00 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 19:39:59 UTC 2018
#@# APas-to-ASeg Fri Jan  5 19:48:20 UTC 2018
#@# ASeg Stats Fri Jan  5 19:48:33 UTC 2018
#@# WMParc Fri Jan  5 19:54:55 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 20:12:28 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 20:21:03 UTC 2018
recon-all -s 3365 finished without error at Fri Jan  5 20:29:41 UTC 2018
