status file for recon-all
Thu Jan  4 22:32:30 UTC 2018
#@# MotionCor Thu Jan  4 22:33:14 UTC 2018
#@# Talairach Thu Jan  4 22:33:35 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:57:50 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:57:50 UTC 2018
#@# Intensity Normalization Thu Jan  4 23:08:07 UTC 2018
#@# Skull Stripping Thu Jan  4 23:13:45 UTC 2018
#@# EM Registration Fri Jan  5 00:09:00 UTC 2018
#@# CA Normalize Fri Jan  5 00:50:37 UTC 2018
#@# CA Reg Fri Jan  5 00:54:23 UTC 2018
#@# SubCort Seg Fri Jan  5 07:57:27 UTC 2018
#@# Merge ASeg Fri Jan  5 09:55:11 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 09:55:11 UTC 2018
#@# Mask BFS Fri Jan  5 10:01:39 UTC 2018
#@# WM Segmentation Fri Jan  5 10:01:43 UTC 2018
#@# Fill Fri Jan  5 10:05:13 UTC 2018
#@# Tessellate lh Fri Jan  5 10:06:45 UTC 2018
#@# Tessellate rh Fri Jan  5 10:06:55 UTC 2018
#@# Smooth1 lh Fri Jan  5 10:07:05 UTC 2018
#@# Smooth1 rh Fri Jan  5 10:07:13 UTC 2018
#@# Inflation1 lh Fri Jan  5 10:07:23 UTC 2018
#@# Inflation1 rh Fri Jan  5 10:08:21 UTC 2018
#@# QSphere lh Fri Jan  5 10:09:20 UTC 2018
#@# QSphere rh Fri Jan  5 10:15:58 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 10:22:24 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 10:22:24 UTC 2018
#@# Fix Topology lh Fri Jan  5 10:22:24 UTC 2018
#@# Fix Topology rh Fri Jan  5 11:07:16 UTC 2018
#@# Make White Surf lh Fri Jan  5 11:42:41 UTC 2018
#@# Make White Surf rh Fri Jan  5 11:51:27 UTC 2018
#@# Smooth2 lh Fri Jan  5 11:59:58 UTC 2018
#@# Smooth2 rh Fri Jan  5 12:00:07 UTC 2018
#@# Inflation2 lh Fri Jan  5 12:00:15 UTC 2018
#@# Inflation2 rh Fri Jan  5 12:01:14 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 12:02:11 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 12:04:36 UTC 2018
#@# Curvature Stats lh Fri Jan  5 12:06:50 UTC 2018
#@# Curvature Stats rh Fri Jan  5 12:06:55 UTC 2018
#@# Sphere lh Fri Jan  5 12:07:01 UTC 2018
#@# Sphere rh Fri Jan  5 13:11:23 UTC 2018
#@# Surf Reg lh Fri Jan  5 14:28:41 UTC 2018
#@# Surf Reg rh Fri Jan  5 15:59:10 UTC 2018
#@# Jacobian white lh Fri Jan  5 17:28:10 UTC 2018
#@# Jacobian white rh Fri Jan  5 17:28:13 UTC 2018
#@# AvgCurv lh Fri Jan  5 17:28:16 UTC 2018
#@# AvgCurv rh Fri Jan  5 17:28:18 UTC 2018
#@# Cortical Parc lh Fri Jan  5 17:28:21 UTC 2018
#@# Cortical Parc rh Fri Jan  5 17:28:44 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 17:29:07 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 17:51:36 UTC 2018
#@# Surf Volume lh Fri Jan  5 18:13:19 UTC 2018
#@# Surf Volume rh Fri Jan  5 18:13:24 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 18:13:29 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 18:39:46 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 18:42:04 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 18:44:16 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 18:44:49 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 18:45:22 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 18:46:32 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 18:47:45 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 18:48:11 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 18:48:35 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 18:49:40 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 18:50:54 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 18:51:04 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 18:51:13 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 18:51:53 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 19:01:22 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 19:10:53 UTC 2018
#@# APas-to-ASeg Fri Jan  5 19:20:24 UTC 2018
#@# ASeg Stats Fri Jan  5 19:20:36 UTC 2018
#@# WMParc Fri Jan  5 19:27:04 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 19:44:57 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 19:53:10 UTC 2018
recon-all -s 3368 finished without error at Fri Jan  5 20:01:24 UTC 2018
